time/s,RMS_H,RMS_AZ,error_H,error_AZ,speed_H,speed_AZ,actual_H,actual_AZ,target_H,target_AZ
717824.000,nan,0.00,0.0,-0.2,0,1794,0.0,-74875.4,0.0,53981.0
718080.000,nan,0.00,0.0,-0.1,0,1794,0.0,-74522.8,0.0,53981.0
718080.000,nan,0.00,0.0,0.0,0,1794,0.0,-74169.4,0.0,53981.0
718080.000,nan,0.00,0.0,0.1,0,1794,0.0,-73815.3,0.0,53981.0
718080.000,nan,0.00,0.0,0.3,0,1794,0.0,-73460.3,0.0,53981.0
718080.000,nan,0.00,0.0,0.4,0,1794,0.0,-73104.5,0.0,53981.0
718336.000,nan,0.00,0.0,0.5,0,1794,0.0,-72747.8,0.0,53981.0
718336.000,nan,0.00,0.0,0.4,0,1794,0.0,-72390.1,0.0,53981.0
718336.000,nan,0.00,0.0,0.3,0,1794,0.0,-72031.7,0.0,53981.0
718336.000,nan,0.00,0.0,0.1,0,1794,0.0,-71672.3,0.0,53981.0
718336.000,nan,0.00,0.0,-0.1,0,1794,0.0,-71312.1,0.0,53981.0
718592.000,nan,0.00,0.0,-0.2,0,1794,0.0,-70951.2,0.0,53981.0
718592.000,nan,0.00,0.0,-0.3,0,1794,0.0,-70589.6,0.0,53981.0
718592.000,nan,0.00,0.0,-0.2,0,1794,0.0,-70227.3,0.0,53981.0
718592.000,nan,0.00,0.0,-0.2,0,1794,0.0,-69864.2,0.0,53981.0
718592.000,nan,0.00,0.0,-0.3,0,1794,0.0,-69500.2,0.0,53981.0
718848.000,nan,0.00,0.0,-0.4,0,1794,0.0,-69135.5,0.0,53981.0
718848.000,0.01,0.00,0.0,-0.3,0,1794,0.0,-68770.2,0.0,53981.0
718848.000,0.01,0.00,0.0,0.0,0,1794,0.0,-68404.4,0.0,53981.0
718848.000,0.03,0.00,0.0,0.3,0,1794,0.0,-68037.8,0.0,53981.0
718848.000,0.04,0.00,0.0,0.3,0,1794,0.0,-67670.1,0.0,53981.0
719104.000,0.05,0.00,0.0,0.3,0,1794,0.0,-67301.6,0.0,53981.0
719104.000,0.06,0.00,0.0,0.4,0,1794,0.0,-66932.5,0.0,53981.0
719104.000,0.08,0.00,0.0,0.5,0,1794,0.0,-66562.7,0.0,53981.0
719104.000,0.09,0.00,0.0,0.5,0,1794,0.0,-66192.0,0.0,53981.0
719104.000,0.10,0.00,0.0,0.3,0,1794,0.0,-65820.5,0.0,53981.0
719360.000,0.09,0.00,0.0,0.0,0,1794,0.0,-65447.9,0.0,53981.0
719360.000,0.09,0.00,0.0,-0.2,0,1794,0.0,-65074.8,0.0,53981.0
719360.000,0.09,0.00,0.0,-0.2,0,1794,0.0,-64701.3,0.0,53981.0
719360.000,0.09,0.00,0.0,0.0,0,1794,0.0,-64327.2,0.0,53981.0
719360.000,0.08,0.00,0.0,0.0,0,1794,0.0,-63952.1,0.0,53981.0
719616.000,0.08,0.00,0.0,-0.2,0,1794,0.0,-63576.2,0.0,53981.0
719616.000,0.09,0.00,0.0,-0.4,0,1794,0.0,-63199.6,0.0,53981.0
719616.000,0.09,0.00,0.0,-0.1,0,1794,0.0,-62822.8,0.0,53981.0
719616.000,0.08,0.00,0.0,0.2,0,1794,0.0,-62445.4,0.0,53981.0
719616.000,0.06,0.00,0.0,0.5,0,1794,0.0,-62067.2,0.0,53981.0
719872.000,0.06,0.00,0.0,0.5,0,1794,0.0,-61688.0,0.0,53981.0
719872.000,0.07,0.00,0.0,0.4,0,1794,0.0,-61307.9,0.0,53981.0
719872.000,0.08,0.00,0.0,0.3,0,1794,0.0,-60927.3,0.0,53981.0
719872.000,0.09,0.00,0.0,0.4,0,1794,0.0,-60546.2,0.0,53981.0
719872.000,0.09,0.00,0.0,0.4,0,1794,0.0,-60164.2,0.0,53981.0
720128.000,0.09,0.00,0.0,0.0,0,1794,0.0,-59781.2,0.0,53981.0
720128.000,0.10,0.00,0.0,-0.4,0,1794,0.0,-59397.5,0.0,53981.0
720128.000,0.10,0.00,0.0,-0.5,0,1794,0.0,-59013.5,0.0,53981.0
720128.000,0.10,0.00,0.0,-0.3,0,1794,0.0,-58629.2,0.0,53981.0
720128.000,0.11,0.00,0.0,-0.2,0,1794,0.0,-58244.1,0.0,53981.0
720384.000,0.11,0.00,0.0,-0.3,0,1794,0.0,-57858.1,0.0,53981.0
720384.000,0.11,0.00,0.0,-0.5,0,1794,0.0,-57471.4,0.0,53981.0
720384.000,0.11,0.00,0.0,-0.4,0,1794,0.0,-57084.4,0.0,53981.0
720384.000,0.11,0.00,0.0,0.0,0,1794,0.0,-56697.1,0.0,53981.0
720384.000,0.11,0.00,0.0,0.4,0,1794,0.0,-56309.1,0.0,53981.0
720640.000,0.12,0.00,0.0,0.5,0,1794,0.0,-55920.2,0.0,53981.0
720640.000,0.12,0.00,0.0,0.4,0,1794,0.0,-55530.4,0.0,53981.0
720640.000,0.12,0.00,0.0,0.3,0,1794,0.0,-55140.1,0.0,53981.0
720640.000,0.13,0.00,0.0,0.4,0,1794,0.0,-54749.3,0.0,53981.0
720640.000,0.12,0.00,0.0,0.3,0,1794,0.0,-54357.8,0.0,53981.0
720896.000,0.10,0.00,0.0,0.0,0,1794,0.0,-53965.4,0.0,53981.0
720896.000,0.11,0.00,0.0,-0.3,0,1794,0.0,-53572.3,0.0,53981.0
720896.000,0.11,0.00,0.0,-0.4,0,1794,0.0,-53179.0,0.0,53981.0
720896.000,0.12,0.00,0.0,-0.3,0,1794,0.0,-52785.2,0.0,53981.0
720896.000,0.12,0.00,0.0,-0.2,0,1794,0.0,-52390.9,0.0,53981.0
721152.000,0.12,0.00,0.0,-0.2,0,1794,0.0,-51995.8,0.0,53981.0
721152.000,0.12,0.00,0.0,-0.2,0,1794,0.0,-51600.2,0.0,53981.0
721152.000,0.12,0.00,0.0,-0.1,0,1794,0.0,-51204.1,0.0,53981.0
721152.000,0.12,0.00,0.0,0.1,0,1794,0.0,-50807.8,0.0,53981.0
721152.000,0.13,0.00,0.0,0.6,0,1794,0.0,-50410.9,0.0,53981.0
721408.000,0.14,0.00,0.0,0.6,0,1794,0.0,-50013.0,0.0,53981.0
721408.000,0.15,0.00,0.0,0.5,0,1794,0.0,-49614.6,0.0,53981.0
721408.000,0.16,0.00,0.0,0.5,0,1794,0.0,-49215.6,0.0,53981.0
721408.000,0.16,0.00,0.0,0.4,0,1794,0.0,-48815.9,0.0,53981.0
721408.000,0.16,0.00,0.0,0.2,0,1794,0.0,-48415.7,0.0,53981.0
721664.000,0.16,0.00,0.0,0.0,0,1794,0.0,-48014.9,0.0,53981.0
721664.000,0.15,0.00,0.0,-0.2,0,1794,0.0,-47613.5,0.0,53981.0
721664.000,0.15,0.00,0.0,-0.2,0,1794,0.0,-47211.8,0.0,53981.0
721664.000,0.15,0.00,0.0,-0.2,0,1794,0.0,-46809.7,0.0,53981.0
721664.000,0.15,0.00,0.0,-0.3,0,1794,0.0,-46406.9,0.0,53981.0
721920.000,0.16,0.00,0.0,-0.4,0,1794,0.0,-46003.6,0.0,53981.0
721920.000,0.16,0.00,0.0,-0.2,0,1794,0.0,-45600.0,0.0,53981.0
721920.000,0.15,0.00,0.0,0.0,0,1794,0.0,-45196.0,0.0,53981.0
721920.000,0.16,0.00,0.0,0.4,0,1794,0.0,-44791.8,0.0,53981.0
721920.000,0.17,0.00,0.0,0.6,0,1794,0.0,-44386.8,0.0,53981.0
722176.000,0.17,0.00,0.0,0.5,0,1794,0.0,-43981.0,0.0,53981.0
722176.000,0.17,0.00,0.0,0.3,0,1794,0.0,-43574.6,0.0,53981.0
722176.000,0.17,0.00,0.0,0.3,0,1794,0.0,-43167.8,0.0,53981.0
722176.000,0.17,0.00,0.0,0.2,0,1794,0.0,-42760.6,0.0,53981.0
722176.000,0.17,0.00,0.0,0.0,0,1794,0.0,-42352.8,0.0,53981.0
722432.000,0.18,0.00,0.0,-0.3,0,1794,0.0,-41944.2,0.0,53981.0
722432.000,0.18,0.00,0.0,-0.5,0,1794,0.0,-41535.5,0.0,53981.0
722432.000,0.18,0.00,0.0,-0.3,0,1794,0.0,-41126.6,0.0,53981.0
722432.000,0.18,0.00,0.0,-0.3,0,1794,0.0,-40717.2,0.0,53981.0
722432.000,0.17,0.00,0.0,-0.3,0,1794,0.0,-40307.2,0.0,53981.0
722688.000,0.17,0.00,0.0,-0.4,0,1794,0.0,-39896.8,0.0,53981.0
722688.000,0.17,0.00,0.0,-0.2,0,1794,0.0,-39486.1,0.0,53981.0
722688.000,0.17,0.00,0.0,0.0,0,1794,0.0,-39075.2,0.0,53981.0
722688.000,0.17,0.00,0.0,0.4,0,1794,0.0,-38663.8,0.0,53981.0
722688.000,0.18,0.00,0.0,0.5,0,1794,0.0,-38251.8,0.0,53981.0
722944.000,0.18,0.00,0.0,0.4,0,1794,0.0,-37839.1,0.0,53981.0
722944.000,0.18,0.00,0.0,0.2,0,1794,0.0,-37426.0,0.0,53981.0
722944.000,0.18,0.00,0.0,0.1,0,1794,0.0,-37012.5,0.0,53981.0
722944.000,0.18,0.00,0.0,0.0,0,1794,0.0,-36598.5,0.0,53981.0
722944.000,0.18,0.00,0.0,0.0,0,1794,0.0,-36184.2,0.0,53981.0
723200.000,0.18,0.00,0.0,-0.2,0,1794,0.0,-35769.5,0.0,53981.0
723200.000,0.18,0.00,0.0,-0.4,0,1794,0.0,-35354.2,0.0,53981.0
723200.000,0.19,0.00,0.0,-0.4,0,1794,0.0,-34938.9,0.0,53981.0
723200.000,0.19,0.00,0.0,-0.3,0,1794,0.0,-34523.2,0.0,53981.0
723200.000,0.18,0.00,0.0,-0.1,0,1794,0.0,-34107.2,0.0,53981.0
723456.000,0.18,0.00,0.0,0.2,0,1794,0.0,-33691.0,0.0,53981.0
723456.000,0.18,0.00,0.0,0.3,0,1794,0.0,-33274.2,0.0,53981.0
723456.000,0.18,0.00,0.0,0.4,0,1794,0.0,-32857.1,0.0,53981.0
723456.000,0.19,0.00,0.0,0.6,0,1794,0.0,-32439.6,0.0,53981.0
723456.000,0.20,0.00,0.0,0.7,0,1794,0.0,-32021.7,0.0,53981.0
723712.000,0.20,0.00,0.0,0.5,0,1794,0.0,-31603.2,0.0,53981.0
723712.000,0.20,0.00,0.0,0.2,0,1794,0.0,-31184.1,0.0,53981.0
723712.000,0.20,0.00,0.0,-0.1,0,1794,0.0,-30764.6,0.0,53981.0
723712.000,0.20,0.00,0.0,-0.2,0,1794,0.0,-30345.1,0.0,53981.0
723712.000,0.20,0.00,0.0,0.0,0,1794,0.0,-29925.6,0.0,53981.0
723968.000,0.20,0.00,0.0,0.0,0,1794,0.0,-29505.5,0.0,53981.0
723968.000,0.20,0.00,0.0,-0.4,0,1794,0.0,-29084.8,0.0,53981.0
723968.000,0.20,0.00,0.0,-0.5,0,1794,0.0,-28664.0,0.0,53981.0
723968.000,0.20,0.00,0.0,-0.2,0,1794,0.0,-28243.2,0.0,53981.0
723968.000,0.20,0.00,0.0,0.1,0,1794,0.0,-27822.3,0.0,53981.0
724224.000,0.21,0.00,0.0,0.5,0,1794,0.0,-27401.0,0.0,53981.0
724224.000,0.21,0.00,0.0,0.6,0,1794,0.0,-26979.1,0.0,53981.0
724224.000,0.21,0.00,0.0,0.4,0,1794,0.0,-26556.7,0.0,53981.0
724224.000,0.21,0.00,0.0,0.4,0,1794,0.0,-26134.0,0.0,53981.0
724224.000,0.21,0.00,0.0,0.4,0,1794,0.0,-25711.2,0.0,53981.0
724480.000,0.21,0.00,0.0,0.2,0,1794,0.0,-25287.9,0.0,53981.0
724480.000,0.21,0.00,0.0,0.0,0,1794,0.0,-24864.2,0.0,53981.0
724480.000,0.21,0.00,0.0,-0.4,0,1794,0.0,-24440.1,0.0,53981.0
724480.000,0.21,0.00,0.0,-0.3,0,1794,0.0,-24016.2,0.0,53981.0
724480.000,0.21,0.00,0.0,-0.2,0,1794,0.0,-23592.1,0.0,53981.0
724736.000,0.21,0.00,0.0,-0.3,0,1794,0.0,-23167.5,0.0,53981.0
724736.000,0.21,0.00,0.0,-0.3,0,1794,0.0,-22742.8,0.0,53981.0
724736.000,0.21,0.00,0.0,-0.1,0,1794,0.0,-22317.9,0.0,53981.0
724736.000,0.21,0.00,0.0,0.2,0,1794,0.0,-21893.1,0.0,53981.0
724736.000,0.21,0.00,0.0,0.5,0,1794,0.0,-21467.9,0.0,53981.0
724992.000,0.22,0.00,0.0,0.6,0,1794,0.0,-21042.3,0.0,53981.0
724992.000,0.22,0.00,0.0,0.5,0,1794,0.0,-20616.3,0.0,53981.0
